,userId,movieId,rating,timestamp,title,genres
1626,132,260,2.0,1157920586,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1647,198,260,5.0,1034137711,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1655,212,260,2.5,1505400094,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1667,234,260,5.0,1004407958,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1684,279,260,5.0,1506394310,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1688,292,260,4.0,1039914974,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1695,307,260,3.5,1186160883,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1738,414,260,5.0,961514667,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1751,448,260,5.0,1019124071,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1767,480,260,4.5,1179160262,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1777,514,260,5.0,1533871727,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1792,555,260,5.0,978841221,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1800,573,260,5.0,1186589669,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1810,599,260,5.0,1498533468,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1813,603,260,4.0,953926816,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
2171,198,316,5.0,1034135137,Stargate (1994),Action|Adventure|Sci-Fi
2215,414,316,3.0,961515271,Stargate (1994),Action|Adventure|Sci-Fi
2221,446,316,4.0,843839191,Stargate (1994),Action|Adventure|Sci-Fi
2223,448,316,3.0,1028110820,Stargate (1994),Action|Adventure|Sci-Fi
2232,480,316,4.0,1179177651,Stargate (1994),Action|Adventure|Sci-Fi
2245,555,316,4.0,978841730,Stargate (1994),Action|Adventure|Sci-Fi
2252,573,316,4.0,1186722532,Stargate (1994),Action|Adventure|Sci-Fi
2261,599,316,3.0,1498521582,Stargate (1994),Action|Adventure|Sci-Fi
7594,101,1210,4.0,968440698,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
7603,132,1210,2.0,1157921254,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
